LAYERS, UNITS, BATCH_SIZE, LEARNING_RATE, EPOCHS, Accuracy
2,16,128,0.001,20,0.4227499961853020
2,16,8,0.1,20,0.4197500050067900
2,64,32,0.0001,10,0.3965833187103270
4,64,8,0.1,20,0.3963333368301390
4,16,32,0.1,10,0.3870833218097680
4,16,32,0.01,10,0.3733333349227900
4,64,128,0.01,20,0.3714999854564660
2,64,8,0.1,10,0.3714166581630700
2,16,8,0.0001,10,0.3665833473205560
3,16,8,0.1,20,0.3654166758060450
3,64,8,0.1,20,0.3644166588783260
3,16,8,0.0001,30,0.3603333234786980
2,64,8,1.00E-05,20,0.3441666662693020
2,64,128,0.0001,30,0.3293333351612090
3,16,32,0.001,10,0.3160000145435330
4,64,8,0.001,10,0.3159166574478140
3,64,128,0.001,20,0.2930000126361840
2,16,32,0.0001,30,0.2874999940395350
3,16,8,0.1,10,0.2812500000000000
4,16,8,0.001,20,0.2520000040531150
2,64,128,0.0001,20,0.2475833296775810
4,16,128,0.01,30,0.2456666678190230
2,16,128,0.001,10,0.2410833388566970
3,16,8,0.0001,20,0.2389999926090240
2,16,32,0.0001,20,0.2258333265781400
3,16,128,0.001,30,0.2213333398103710
3,64,8,0.0001,10,0.2202499955892560
2,16,8,0.1,30,0.2143333405256270
4,16,8,0.1,30,0.2090833336114880
4,16,128,0.01,20,0.2075833380222320
4,16,8,0.1,10,0.2011666595935820
2,64,8,1.00E-05,10,0.1975000053644180
2,16,8,1.00E-05,30,0.1865833401679990
2,16,32,0.0001,10,0.1795833259820930
2,16,8,0.1,10,0.1792500019073480
2,16,8,1.00E-05,20,0.1698333323001860
2,16,128,0.0001,30,0.1679166704416270
2,16,128,0.0001,20,0.1572500020265570
2,16,8,1.00E-05,10,0.1516666710376730
3,64,32,0.0001,30,0.1505833268165580
3,16,128,0.001,20,0.1465833336114880
2,16,32,1.00E-05,30,0.1440833359956740
2,16,128,0.0001,10,0.1419166624546050
2,64,32,1.00E-05,30,0.1397500038146970
2,16,32,1.00E-05,20,0.1378333270549770
3,64,128,0.001,10,0.1363333314657210
4,16,8,0.001,10,0.1355833262205120
2,16,32,1.00E-05,10,0.1319166719913480
2,16,128,1.00E-05,30,0.1296666711568830
2,16,128,1.00E-05,20,0.1274999976158140
2,64,128,0.0001,10,0.1250000000000000
2,16,128,1.00E-05,10,0.1249166652560230
3,64,32,0.0001,20,0.1227499991655340
3,16,8,0.0001,10,0.1220000013709060
4,64,128,0.01,10,0.1162500008940690
3,64,8,1.00E-05,30,0.1159999966621390
3,16,8,0.1,30,0.1145833358168600
3,16,8,1.00E-05,30,0.1139166653156280
3,64,32,0.0001,10,0.1139166653156280
3,16,32,0.0001,20,0.1136666685342780
3,16,32,0.0001,30,0.1134999990463250
3,16,128,0.001,10,0.1134999990463250
4,16,8,0.0001,10,0.1134166643023490
4,16,8,0.0001,20,0.1134166643023490
4,16,8,0.0001,30,0.1134166643023490
4,16,8,1.00E-05,10,0.1134166643023490
4,16,8,1.00E-05,20,0.1134166643023490
4,16,8,1.00E-05,30,0.1134166643023490
4,16,32,0.001,10,0.1134166643023490
4,16,32,0.001,20,0.1134166643023490
4,16,32,0.001,30,0.1134166643023490
4,16,32,0.0001,10,0.1134166643023490
4,16,32,0.0001,20,0.1134166643023490
4,16,32,0.0001,30,0.1134166643023490
4,16,32,1.00E-05,10,0.1134166643023490
4,16,32,1.00E-05,20,0.1134166643023490
4,16,32,1.00E-05,30,0.1134166643023490
4,16,128,0.01,10,0.1134166643023490
4,16,128,0.001,10,0.1134166643023490
4,16,128,0.001,20,0.1134166643023490
4,16,128,0.001,30,0.1134166643023490
4,16,128,0.0001,10,0.1134166643023490
4,16,128,0.0001,20,0.1134166643023490
4,16,128,0.0001,30,0.1134166643023490
4,16,128,1.00E-05,10,0.1134166643023490
4,16,128,1.00E-05,20,0.1134166643023490
4,16,128,1.00E-05,30,0.1134166643023490
4,64,8,0.0001,10,0.1134166643023490
4,64,8,0.0001,20,0.1134166643023490
4,64,8,0.0001,30,0.1134166643023490
4,64,8,1.00E-05,20,0.1134166643023490
4,64,8,1.00E-05,30,0.1134166643023490
4,64,32,0.001,10,0.1134166643023490
4,64,32,0.001,20,0.1134166643023490
4,64,32,0.001,30,0.1134166643023490
4,64,32,0.0001,10,0.1134166643023490
4,64,32,0.0001,20,0.1134166643023490
4,64,32,0.0001,30,0.1134166643023490
4,64,128,0.001,10,0.1134166643023490
4,64,128,0.001,20,0.1134166643023490
4,64,128,0.001,30,0.1134166643023490
4,64,128,0.0001,30,0.1134166643023490
3,16,32,0.0001,10,0.1124999970197670
3,64,8,1.00E-05,20,0.1094166636466980
2,64,32,1.00E-05,20,0.1090833321213720
4,16,8,0.1,20,0.1048333346843710
3,64,128,0.0001,30,0.1014166697859760
2,64,32,1.00E-05,10,0.0985833331942558
2,64,128,1.00E-05,20,0.0981666669249534
2,64,128,1.00E-05,10,0.0979166701436042
2,64,128,1.00E-05,30,0.0978333353996276
3,16,8,1.00E-05,10,0.0975833311676979
3,16,32,1.00E-05,10,0.0975833311676979
3,16,32,1.00E-05,20,0.0975833311676979
3,16,32,1.00E-05,30,0.0975833311676979
3,16,128,0.0001,10,0.0975833311676979
3,16,128,0.0001,20,0.0975833311676979
3,16,128,1.00E-05,10,0.0975833311676979
3,16,128,1.00E-05,20,0.0975833311676979
3,16,128,1.00E-05,30,0.0975833311676979
3,16,128,0.0001,30,0.0969166681170463
3,16,8,1.00E-05,20,0.0956666693091392
3,64,32,1.00E-05,10,0.0948333367705345
3,64,128,1.00E-05,10,0.0948333367705345
3,64,128,1.00E-05,20,0.0948333367705345
3,64,128,1.00E-05,30,0.0948333367705345
4,64,8,1.00E-05,10,0.0948333367705345
4,64,32,1.00E-05,10,0.0948333367705345
4,64,32,1.00E-05,20,0.0948333367705345
4,64,32,1.00E-05,30,0.0948333367705345
4,64,128,0.0001,10,0.0948333367705345
4,64,128,1.00E-05,10,0.0948333367705345
4,64,128,1.00E-05,20,0.0948333367705345
4,64,128,1.00E-05,30,0.0948333367705345
3,64,32,1.00E-05,20,0.0939166694879531
3,64,128,0.0001,10,0.0931666642427444
3,64,32,1.00E-05,30,0.0909999981522560
3,64,8,1.00E-05,10,0.0870833322405815
3,64,128,0.0001,20,0.0853333324193954
4,64,128,0.0001,20,0.0606666654348373
